Title,Location,Price,Bedrooms,Bathrooms,Features,URL,Created_Date,Street,Kapanewon,Kabupaten,Province
"tanah murah jogja dekat pasar pleret bantul, shm pekarangan","jl pleret pathuk, bantul, jogja, di yogyakarta, pakualaman, yogyakarta, di yogyakarta",144800000,3.0,2.0,"3  2 , 181 m² (tanah), rp 800.000 per m²",https://www.rumah.com/listing-properti/dijual-tanah-murah-jogja-dekat-pasar-pleret-bantul-shm-pekarangan-oleh-fajar-budiantoro-22079503,20230812_093203,N/A,pakualaman,bantul,diy
rumah murah shm promo ppn dan bphtb dengan pesona panorama sunrise,"jitengan, balecatur, gamping, sleman, gamping, sleman, di yogyakarta",492700000,2.0,1.0,"2  1 , 45 m², rp 7.038.571 per m²",https://www.rumah.com/listing-properti/dijual-rumah-murah-shm-promo-ppn-dan-bphtb-dengan-pesona-panorama-sunrise-oleh-raphaella-21992782,20230812_093203,N/A,gamping,sleman,diy
"kawasan wisata menoreh jogja, cocok bangun villa","pengasih, kulon progo, di yogyakarta",272000000,,,"160 m² (tanah), rp 1.700.000 per m²",https://www.rumah.com/listing-properti/dijual-kawasan-wisata-menoreh-jogja-cocok-bangun-villa-oleh-brian-aziz-22078269,20230812_093203,N/A,pengasih,kulon progo,diy
"3 menit kampus uii, kavling murah jogja","sleman, sleman, di yogyakarta",420500000,,,"146 m² (tanah), rp 2.880.137 per m²",https://www.rumah.com/listing-properti/dijual-3-menit-kampus-uii-kavling-murah-jogja-oleh-brian-aziz-22078411,20230812_093203,N/A,N/A,sleman,diy
tanah kavling shm dekat ugm,"mlati, sleman, di yogyakarta",8500000,,,"115 m² (tanah), rp 73.913 per m²",https://www.rumah.com/listing-properti/dijual-tanah-kavling-shm-dekat-ugm-oleh-alfian-febriansyah-22073895,20230812_093203,N/A,mlati,sleman,diy
wahana praja 1 no. 99,"jalan besi jangkang, ngemplak, sleman, di yogyakarta",550000000,3.0,2.0,"3  2 , 120 m², rp 6.707.317 per m²",https://www.rumah.com/listing-properti/dijual-wahana-praja-1-no-99-oleh-agus-setiawan-20654301,20230812_093203,jalan besi jangkang,ngemplak,sleman,diy
dijual cluster maguwoharjo sleman yogyakarta,"depok, sleman, di yogyakarta",790000000,3.0,2.0,"3  2 , 70 m², rp 7.669.903 per m²",https://www.rumah.com/listing-properti/dijual-dijual-cluster-maguwoharjo-sleman-yogyakarta-oleh-hadiwijaya-22054361,20230812_093203,N/A,depok,sleman,diy
dijual rumah baru jakal km 13 sleman yogyakarta,"ngaglik, sleman, di yogyakarta",1400000000,3.0,2.0,"3  2 , 110 m², rp 9.090.909 per m²",https://www.rumah.com/listing-properti/dijual-dijual-rumah-baru-jakal-km-13-sleman-yogyakarta-oleh-hadiwijaya-22079262,20230812_093203,N/A,ngaglik,sleman,diy
"rumah mewah baru 1 lt. tajem maguwoharjo wedomartani dekat jogja bay, sanata dharma, upn, ugm, uii","ngemplak, sleman, di yogyakarta",1100000000,3.0,2.0,"3  2 , 100 m², rp 9.090.909 per m²",https://www.rumah.com/listing-properti/dijual-rumah-mewah-baru-1-lt-tajem-maguwoharjo-wedomartani-dekat-jogja-bay-sanata-dharma-upn-ugm-uii-oleh-eny-orinda-21805918,20230812_093203,N/A,ngemplak,sleman,diy
dijual rumah baru jakal km 14 sleman yogyakarta,"ngaglik, sleman, di yogyakarta",777000000,3.0,2.0,"3  2 , 83 m², rp 7.400.000 per m²",https://www.rumah.com/listing-properti/dijual-dijual-rumah-baru-jakal-km-14-sleman-yogyakarta-oleh-hadiwijaya-21990450,20230812_093203,N/A,ngaglik,sleman,diy
tanah bagus di pugeran dekat upn dalam ring road,"depok, sleman, di yogyakarta",4700000,,,"119 m² (tanah), rp 39.496 per m²",https://www.rumah.com/listing-properti/dijual-tanah-bagus-di-pugeran-dekat-upn-dalam-ring-road-oleh-alfian-febriansyah-22078994,20230812_093203,N/A,depok,sleman,diy
perumahan nawasena townhouse utara ringroad jogja,"jl. kebon agung, gamping, sleman, di yogyakarta",975000000,3.0,2.0,"3  2 , 80 m², rp 9.750.000 per m²",https://www.rumah.com/listing-properti/dijual-perumahan-nawasena-townhouse-utara-ringroad-jogja-oleh-andro-22078966,20230812_093203,jl. kebon agung,gamping,sleman,diy
perumahan kpr prambanan,"prambanan yogyakarta, prambanan, sleman, di yogyakarta",280000000,2.0,1.0,"2  1 , 36 m², rp 4.242.424 per m²",https://www.rumah.com/listing-properti/dijual-perumahan-kpr-prambanan-oleh-taryono-21947085,20230812_093203,N/A,prambanan,sleman,diy
"harga 975 juta belakang mcd jombor, cluster mewah 2 lantai hanya 7 unit","jalan kabupaten, mlati, sleman, di yogyakarta",975000000,3.0,2.0,"3  2 , 80 m², rp 8.783.784 per m²",https://www.rumah.com/listing-properti/dijual-harga-975-juta-belakang-mcd-jombor-cluster-mewah-2-lantai-hanya-7-unit-oleh-andro-21559343,20230812_093203,jalan kabupaten,mlati,sleman,diy
rumah murah prambanan,"prambanan yogyakarta, prambanan, sleman, di yogyakarta",280000000,2.0,1.0,"2  1 , 36 m², rp 4.242.424 per m²",https://www.rumah.com/listing-properti/dijual-rumah-murah-prambanan-oleh-taryono-21571833,20230812_093203,N/A,prambanan,sleman,diy
"tanah pribadi bonus rumah jalan kaliurang, dekat kampus ugm, 100m jalan raya","jalan kaliurang, depok, sleman, di yogyakarta",732000000,,,"120 m² (tanah), rp 6.100.000 per m²",https://www.rumah.com/listing-properti/dijual-tanah-pribadi-bonus-rumah-jalan-kaliurang-dekat-kampus-ugm-100m-jalan-raya-oleh-amry-22078881,20230812_093203,jalan kaliurang,depok,sleman,diy
dijual rumah murah di prambanan yogyakarta,"prambanan yogyakarta, prambanan, sleman, di yogyakarta",280000000,2.0,1.0,"2  1 , 36 m², rp 4.242.424 per m²",https://www.rumah.com/listing-properti/dijual-dijual-rumah-murah-di-prambanan-yogyakarta-oleh-taryono-21946636,20230812_093203,N/A,prambanan,sleman,diy
12 meter dari jl palagan,"jl palagan km 13, utara hotel hyatt, sleman, sleman, di yogyakarta",931500000,10.0,10.0,"10  10 , 345 m² (tanah), rp 2.700.000 per m²",https://www.rumah.com/listing-properti/dijual-12-meter-dari-jl-palagan-oleh-abdul-rozaq-21955685,20230812_093203,N/A,utara hotel hyatt,sleman,diy
"tanah murah dekat kota jogja, siap bangun","jl. wonosari, kotagede, yogyakarta, di yogyakarta",2350000,,,"158 m² (tanah), rp 14.873 per m²",https://www.rumah.com/listing-properti/dijual-tanah-murah-dekat-kota-jogja-siap-bangun-oleh-razaldy-gibran-pratama-22078329,20230812_093203,jl. wonosari,kotagede,yogyakarta,diy
tanah pinggir jalan di seturan area kawasan premium,"jln raya kledokan, depok, sleman, di yogyakarta",16500000,,,"179 m² (tanah), rp 92.179 per m²",https://www.rumah.com/listing-properti/dijual-tanah-pinggir-jalan-di-seturan-area-kawasan-premium-oleh-alfian-febriansyah-22078044,20230812_093203,jln raya kledokan,depok,sleman,diy
"tanah perumahan sleman, siap bangun, dekat kampus uii luasan 140m","jalan kaliurang, ngemplak, sleman, di yogyakarta",426000000,,,"142 m² (tanah), rp 3.000.000 per m²",https://www.rumah.com/listing-properti/dijual-tanah-perumahan-sleman-siap-bangun-dekat-kampus-uii-luasan-140m-oleh-amry-22053880,20230812_093203,jalan kaliurang,ngemplak,sleman,diy
rumah besar murah di jl. bugisan selatan,"kasihan, bantul, di yogyakarta",1250000000,5.0,3.0,"5  3 , 300 m², rp 8.503.401 per m²",https://www.rumah.com/listing-properti/dijual-rumah-besar-murah-di-jl-bugisan-selatan-oleh-zuhad-putra-rahmatullah-22077818,20230812_093203,N/A,kasihan,bantul,diy
5 menit kampus uii jogja,"jl kaliurang km. 14, sleman, mantrijeron, yogyakarta, di yogyakarta",3700000,10.0,10.0,"10  10 , 233 m² (tanah), rp 15.880 per m²",https://www.rumah.com/listing-properti/dijual-5-menit-kampus-uii-jogja-oleh-abdul-rozaq-21963184,20230812_093203,N/A,mantrijeron,sleman,diy
dijual tanah gratis bangunan canal h 600m2,"kasihan, bantul, di yogyakarta",2600000,,,"1510 m² (tanah), rp 1.722 per m²",https://www.rumah.com/listing-properti/dijual-dijual-tanah-gratis-bangunan-canal-h-600m2-oleh-zuhad-putra-rahmatullah-22077674,20230812_093203,N/A,kasihan,bantul,diy
dijual rumah mewah murah di jl. bugisan selatan,"kasihan, bantul, di yogyakarta",1400000000,4.0,3.0,"4  3 , 200 m², rp 10.144.928 per m²",https://www.rumah.com/listing-properti/dijual-dijual-rumah-mewah-murah-di-jl-bugisan-selatan-oleh-zuhad-putra-rahmatullah-22077362,20230812_093203,N/A,kasihan,bantul,diy
tanah cocok bangun kos dekat ugm dan uii jogja,"jl.kaliurang km 7, sleman, yogyakarta, depok, sleman, di yogyakarta",5000000,,,"283 m² (tanah), rp 17.668 per m²",https://www.rumah.com/listing-properti/dijual-tanah-cocok-bangun-kos-dekat-ugm-dan-uii-jogja-oleh-lingga-swardinata-22076109,20230812_093203,jl.kaliurang km 7,depok,sleman,diy
kost dijual eksklusif lokasi premium di pogung dekat ke kampus ugm,"pogung kidul, mlati, sleman, di yogyakarta",8500000000,10.0,10.0,"10  10 , 450 m², rp 22.368.421 per m²",https://www.rumah.com/listing-properti/dijual-kost-dijual-eksklusif-lokasi-premium-di-pogung-dekat-ke-kampus-ugm-oleh-beny-a-17684014,20230812_093203,N/A,mlati,sleman,diy
kost exclusive dijual lokasi sangat strategis di yogyakarta (kota),"jl magelang sinduadi mlati, mlati, sleman, di yogyakarta",2900000000,10.0,10.0,"10  10 , 180 m², rp 18.125.000 per m²",https://www.rumah.com/listing-properti/dijual-kost-exclusive-dijual-lokasi-sangat-strategis-di-yogyakarta-kota-oleh-beny-a-21483365,20230812_093203,N/A,mlati,sleman,diy
tanah belakang polda diy: ringroad utara,"sanggrahan, condongcatur, depok, sleman,yogyakarta, kraton, yogyakarta, di yogyakarta",1200000000,,,"240 m² (tanah), rp 5.000.000 per m²",https://www.rumah.com/listing-properti/dijual-tanah-belakang-polda-diy-ringroad-utara-oleh-salva-22072182,20230812_093203,N/A,kraton,sleman,diy
tanah selatan kampus uii dekat jln kaliurang,"ngaglik, sleman, di yogyakarta",4700000,,,"833 m² (tanah), rp 5.642 per m²",https://www.rumah.com/listing-properti/dijual-tanah-selatan-kampus-uii-dekat-jln-kaliurang-oleh-alfian-febriansyah-22074989,20230812_093203,N/A,ngaglik,sleman,diy
rumah minimalis sleman: harga promo bulan agustus,"jl. ambarketawang, kotagede, yogyakarta, di yogyakarta",695000000,3.0,1.0,"3  1 , 65 m², rp 5.650.407 per m²",https://www.rumah.com/listing-properti/dijual-rumah-minimalis-sleman-harga-promo-bulan-agustus-oleh-fiza-22052207,20230812_093203,jl. ambarketawang,kotagede,yogyakarta,diy
"siap  ajb, tanah dekat tol ambarketawang gamping yogyakarta","jl. jogja wates km 6,5 - gamping, yogyakarta, mergangsan, yogyakarta, di yogyakarta",240000000,,,"100 m² (tanah), rp 2.400.000 per m²",https://www.rumah.com/listing-properti/dijual-siap-ajb-tanah-dekat-tol-ambarketawang-gamping-yogyakarta-oleh-chairul-imam-21919375,20230812_093203,jl. jogja wates km 6,mergangsan,yogyakarta,diy
tanah super murah daerah jambon,"jalan jambon, sleman, sleman, di yogyakarta",10476000000,,,"3880 m² (tanah), rp 2.700.000 per m²",https://www.rumah.com/listing-properti/dijual-tanah-super-murah-daerah-jambon-oleh-uut-22074398,20230812_093203,jalan jambon,N/A,sleman,diy
"dekat kampus uin 2 pajangan, tanah kavling perumahan bantul","jl. jogja wates km 9, pajangan, bantul, mergangsan, yogyakarta, di yogyakarta",179200000,,,"128 m² (tanah), rp 1.400.000 per m²",https://www.rumah.com/listing-properti/dijual-dekat-kampus-uin-2-pajangan-tanah-kavling-perumahan-bantul-oleh-chairul-imam-21855066,20230812_093203,jl. jogja wates km 9,mergangsan,bantul,diy
"dekat exit tol banyurejo, dijual tanah murah sleman","jl. godean km 12, sleman, yogyakarta, sleman, sleman, di yogyakarta",161200000,,,"124 m² (tanah), rp 1.300.000 per m²",https://www.rumah.com/listing-properti/dijual-dekat-exit-tol-banyurejo-dijual-tanah-murah-sleman-oleh-chairul-imam-22074315,20230812_093203,jl. godean km 12,N/A,sleman,diy
kosan super murah dekat kampus ugm di jalan kaliurang km 5,"pogung baru, mlati, sleman, di yogyakarta",10000000000,10.0,10.0,"10  10 , 668 m², rp 13.513.514 per m²",https://www.rumah.com/listing-properti/dijual-kosan-super-murah-dekat-kampus-ugm-di-jalan-kaliurang-km-5-oleh-uut-22074165,20230812_093203,N/A,mlati,sleman,diy
rumah dekat malioboro kraton,"jl bugisan, kraton, yogyakarta, di yogyakarta",900000000,3.0,2.0,"3  2 , 89 m², rp 9.183.673 per m²",https://www.rumah.com/listing-properti/dijual-rumah-dekat-malioboro-kraton-oleh-elin-nur-merdiasari-20710657,20230812_093203,N/A,kraton,yogyakarta,diy
yogyakarta,"jalan tajem maguwoharjo, depok, sleman, di yogyakarta",575000000,3.0,2.0,"3  2 , 56 m², rp 5.989.583 per m²",https://www.rumah.com/listing-properti/dijual-yogyakarta-oleh-elin-nur-merdiasari-21319741,20230812_093203,jalan tajem maguwoharjo,depok,sleman,diy
yogyakarta,"jalan candirejo, berbah, sleman, di yogyakarta",450000000,3.0,1.0,"3  1 , 55 m², rp 4.838.710 per m²",https://www.rumah.com/listing-properti/dijual-yogyakarta-oleh-elin-nur-merdiasari-21124300,20230812_093203,jalan candirejo,berbah,sleman,diy
rumah bagus murah dekat kampus unriyo jalan tajem,"jalan tajem, ngemplak, sleman, di yogyakarta",550000000,3.0,1.0,"3  1 , 60 m², rp 6.626.506 per m²",https://www.rumah.com/listing-properti/dijual-rumah-bagus-murah-dekat-kampus-unriyo-jalan-tajem-oleh-elin-nur-merdiasari-21897262,20230812_093203,jalan tajem,ngemplak,sleman,diy
