Title,Location,Price,Bedrooms,Bathrooms,Features,URL,Created_Date
Rumah Mewah Dengan Kolam Renang Dekat Hotel Sheraton,"Depok, Sleman, DI Yogyakarta","Rp 2,2 M",5,5,"5  5 , 210 m², Rp 14.864.865 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-rumah-mewah-dengan-kolam-renang-dekat-hotel-sheraton-oleh-alfian-febriansyah-22079800,20230812_093203
Rumah dijual Kaliurang,"Jl Kaliurang,Jl Ringroad Utara,Jl Malioboro,Sleman, Sleman, Sleman, DI Yogyakarta","Rp 1,45 M",5,4,"5  4 , 300 m², Rp 9.666.667 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-rumah-dijual-kaliurang-oleh-benedicta-aprilia-pratiwi-21311657,20230812_093203
The Naya Residence,"Jl.Bandut Metes,Argorejo,Sedayu, Sedayu, Bantul, DI Yogyakarta",Rp 400 jt,2,1,"2  1 , 36 m², Rp 5.555.556 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-the-naya-residence-oleh-ari-sujatmoko-21910773,20230812_093203
Tanah View Sawah Jakal Km 11: Tanah Jogja Cocok Vila 2 Jt-an,"Sukoharjo, Sleman Ngaglik, Sleman, Yogyakarta, Sleman, Sleman, DI Yogyakarta","Rp 915,2 jt",N/A,N/A,"352 m² (tanah), Rp 2.600.000 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-tanah-view-sawah-jakal-km-11-tanah-jogja-cocok-vila-2-jt-an-oleh-qoidul-21974685,20230812_093203
"Tanah Murah Jogja Dekat Pasar Pleret Bantul, SHM Pekarangan","Jl Pleret Pathuk, Bantul, Jogja, DI Yogyakarta, Pakualaman, Yogyakarta, DI Yogyakarta","Rp 144,8 jt",3,2,"3  2 , 181 m² (tanah), Rp 800.000 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-tanah-murah-jogja-dekat-pasar-pleret-bantul-shm-pekarangan-oleh-fajar-budiantoro-22079503,20230812_093203
Rumah Murah SHM Promo PPN dan BPHTB dengan Pesona Panorama Sunrise,"Jitengan, Balecatur, Gamping, Sleman, Gamping, Sleman, DI Yogyakarta","Rp 492,7 jt",2,1,"2  1 , 45 m², Rp 7.038.571 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-rumah-murah-shm-promo-ppn-dan-bphtb-dengan-pesona-panorama-sunrise-oleh-raphaella-21992782,20230812_093203
"Kawasan Wisata Menoreh Jogja, Cocok Bangun Villa","Pengasih, Kulon Progo, DI Yogyakarta",Rp 272 jt,N/A,N/A,"160 m² (tanah), Rp 1.700.000 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-kawasan-wisata-menoreh-jogja-cocok-bangun-villa-oleh-brian-aziz-22078269,20230812_093203
"3 Menit Kampus Uii, Kavling Murah Jogja","Sleman, Sleman, DI Yogyakarta","Rp 420,5 jt",N/A,N/A,"146 m² (tanah), Rp 2.880.137 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-3-menit-kampus-uii-kavling-murah-jogja-oleh-brian-aziz-22078411,20230812_093203
Tanah Kavling SHM Dekat UGM,"Mlati, Sleman, DI Yogyakarta","Rp 8,5 jt",N/A,N/A,"115 m² (tanah), Rp 73.913 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-tanah-kavling-shm-dekat-ugm-oleh-alfian-febriansyah-22073895,20230812_093203
Wahana Praja 1 No. 99,"Jalan Besi Jangkang, Ngemplak, Sleman, DI Yogyakarta",Rp 550 jt,3,2,"3  2 , 120 m², Rp 6.707.317 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-wahana-praja-1-no-99-oleh-agus-setiawan-20654301,20230812_093203
